Date,Open,Change %
2019-04-08,5173,1.38
2019-04-07,5046,2.53
2019-04-06,5010,0.72
2019-04-05,4902,2.2
2019-04-04,4968,-1.33
2019-04-03,4859,2.25
2019-04-02,4145,17.23
2019-04-01,4102,1.04
2019-03-31,4111,-0.23
2019-03-30,4103,0.23
2019-03-29,4025,1.9
2019-03-28,4041,-0.4
2019-03-27,3942,2.51
2019-03-26,3937,0.15
2019-03-25,3994,-1.44
2019-03-24,4002,-0.2
2019-03-23,3990,0.3
2019-03-22,3982,0.21
2019-03-21,4041,-1.46
2019-03-20,4017,0.6
2019-03-19,3990,0.67
2019-03-18,3981,0.22
2019-03-17,4006,-0.62
2019-03-16,3924,2.09
2019-03-15,3879,1.17
2019-03-14,3865,0.36
2019-03-13,3885,-0.54
2019-03-12,3870,0.41
2019-03-11,3915,-1.15
2019-03-10,3944,-0.74
2019-03-09,3865,2.03
2019-03-08,3875,-0.24
2019-03-07,3863,0.32
2019-03-06,3857,0.15
2019-03-05,3715,3.8
2019-03-04,3809,-2.45
2019-03-03,3823,-0.36
2019-03-02,3821,0.03
2019-03-01,3816,0.14
2019-02-28,3814,0.05
2019-02-27,3810,0.11
2019-02-26,3833,-0.61
2019-02-25,3755,2.09
2019-02-24,4120,-8.86
2019-02-23,3965,3.91
2019-02-22,3937,0.73
2019-02-21,3972,-0.9
2019-02-20,3914,1.48
2019-02-19,3896,0.47
2019-02-18,3664,6.33
2019-02-17,3616,1.31
2019-02-16,3604,0.34
2019-02-15,3592,0.34
2019-02-14,3611,-0.52
2019-02-13,3632,-0.56
2019-02-12,3631,0.01
2019-02-11,3678,-1.28
2019-02-10,3661,0.48
2019-02-09,3661,-0.01
2019-02-08,3397,7.77
2019-02-07,3404,-0.2
2019-02-06,3468,-1.85
2019-02-05,3463,0.16
2019-02-04,3459,0.11
2019-02-03,3502,-1.24
2019-02-02,3467,1.0
2019-02-01,3437,0.9
2019-01-31,3460,-0.66
2019-01-30,3414,1.32
2019-01-29,3442,-0.81
2019-01-28,3555,-3.17
2019-01-27,3570,-0.43
